restaurant_id;name;address;street1;street2;city;state;country;postal_code;latitude;longitude;phone;email;website;tripadvisor_location_id;tripadvisor_url;tripadvisor_rating;tripadvisor_rating_image_url;tripadvisor_review_count;tripadvisor_ranking_string;tripadvisor_price_level;tripadvisor_cuisine;ta_photo_1_url;ta_photo_1_caption;ta_photo_2_url;ta_photo_2_caption;ta_photo_3_url;ta_photo_3_caption;ta_photo_4_url;ta_photo_4_caption;ta_photo_5_url;ta_photo_5_caption;ta_review_1_text;ta_review_1_rating;ta_review_1_date;ta_review_1_title;ta_review_1_author;ta_review_2_text;ta_review_2_rating;ta_review_2_date;ta_review_2_title;ta_review_2_author;ta_review_3_text;ta_review_3_rating;ta_review_3_date;ta_review_3_title;ta_review_3_author;ta_review_4_text;ta_review_4_rating;ta_review_4_date;ta_review_4_title;ta_review_4_author;ta_review_5_text;ta_review_5_rating;ta_review_5_date;ta_review_5_title;ta_review_5_author;data_collected_at;api_calls_used
11;Garden Çamlýca Cafe & Restaurant;;Kýsýklý, Kýsýklý Büyük Çamlýca Cd. No:54/1, 34692 Üsküdar/;;Ýstanbul;;Türkiye;34000;41,02846;29,065346;+90 530 447 04 24;camlica.garden2424@gmail.com;https://gardencamlica.com.tr/;32862610;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d32862610-Reviews-Garden_CamlIca_Cafe_Restaurant-Istanbul.html?m=66827;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:26:19.397695;3
12;Desde Cafe Restaurant;;Kýsýklý Mahallesi, Çamlýca Tepesi Sokak No: 48;;Ýstanbul;;Türkiye;34692;41,02848;29,06665;+90 216 422 02 02;;http://www.desde.com.tr;7761774;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d7761774-Reviews-Desde_Cafe_Restaurant-Istanbul.html?m=66827;3,9;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg;13;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 5.308. sýrada;$$ - $$$;international, turkish;https://media-cdn.tripadvisor.com/media/photo-s/0b/5c/dc/a6/caption.jpg;?????? ?????;https://media-cdn.tripadvisor.com/media/photo-s/07/75/3f/47/desde-cafe-restaurant.jpg;desde;https://media-cdn.tripadvisor.com/media/photo-s/0b/5c/dc/ac/caption.jpg;?????? ?????;https://media-cdn.tripadvisor.com/media/photo-s/0b/5c/dc/ab/caption.jpg;?????? ?????;https://media-cdn.tripadvisor.com/media/photo-s/0b/5c/dc/aa/caption.jpg;?????? ?????;29 ekim saat 10 sularý desde cafeye 4 kiþi gittik aracýmý kendim park ettim vale geldi anahtarý istedi coronadan dolayý vermek istemedim çýkýþta benden ücret talep etti vale bizde böyle geçiniyoruz felan arkadasým ben aracý kendim park ettim zaten cafeye parasýný vermiþim hadi onu geçtim 5 10 tl sinde degilim bi fiþ birsey verki bizde bilelim kim oldugunu rezalet bi yer adam kafasýna göre bende böyle geçiniyorum diyor kimsenin ekmeginde gözümüz yok kalkýp fatura fiþ olmadan benden ücret tablet ediyorsun acil bir düzenleme yapýlsýn;1;2020-10-29T17:28:53Z;Desde otopark rezaleti;ademozdrm;"Yýllardýr giderim, artýk sayamayacaðým kadar çok gitmiþimdir bu mekana. Genel olarak manzarasý olsun, ortamý olsun çok hoþuma gider. Nargilesi de içtiðim en iyi nargilelerdendir. Zaten baþlýca tercih sebebim de nargilesidir. Fakat bu fiyatlar nedir? 2 yaz önce 30 TL olan nargile sonrasýnda 35 oldu, tamam dedik; kasým ayýnda gittiðimde 40 olmuþ, e ona da tamam dedik; geçenlerde gittim 40'ýn üzeri kapatýlmýþ, 45 etiketi yapýþtýrýlmýþ. Sizce de biraz abartý olmamýþ mý ya? Yemekleri de iyidir, sözüm yok. Fakat kahve çeþitleri maalesef kötü. Ayrýca teras tarafýndaki sandalyeler felaket pis. Üstünde bir karýþ nargile közü, toz vs var. Arada bir süpürün, yýkayýn. Çay, kahve lekesinden geçilmiyor.";3;2020-01-26T07:08:27Z;Nargilesi için gidilir;109vv;Ýstanbul ayaklarýnýzýn altýnda. Muhteþem bir manzara ile nargile keyfi yapabilir, yanýnda çay veya sahlep içebilirsiniz;5;2017-01-25T16:38:44Z;Müthiþ Ýstanbul manzarasý;615ozane;Sadece manzarasýnýn bile yettiði mükemmel bir mekan, yine eþimle yemeðe gittik et yemeði mükemmel manzarasý desek, gece istanbulun ýþýklarýnýn dans ettiði bir mehtaba bakmak, mükemmel bir yer. Hizmet çok kaliteli. Yinegurmwliðimi konuþturduðuma yanýlmadýðýma inanýyorum;5;2016-10-21T05:51:13Z;ÝSTANBULUN BALKONU;oguzhaneksi;Merhaba yine mükemmel mekanlardan birisi DESTE RESTAURANT mükemmel boðaz manzarasý be harükulade yemekleriyle küçükçamlýca nýn en iyi mekaný muhakkak gidiniz;5;2016-07-02T03:55:35Z;Destee;oguzhaneksi;2025-11-06T01:26:21.711904;3
13;Beyaz Köþk;;Kýsýklý Mah. Çamlýca Tepesi Sk. No: 88/1;Üsküdar;Ýstanbul;;Türkiye;;41,028767;29,06686;+90 216 650 76 50;info@beyazkoskcamlica.com;https://www.facebook.com/beyazkoskcamlica/?hc_ref=PAGES_TIMELINE&fref=nf;11876879;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d11876879-Reviews-Beyaz_Kosk-Istanbul.html?m=66827;5;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/5.0-66827-5.svg;2;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 5.325. sýrada;;steakhouse, cafe, fast_food, turkish, healthy;https://media-cdn.tripadvisor.com/media/photo-s/0f/95/a0/5e/manzarasi-cok-guzel-mekan.jpg;Manzarasý çok güzel mekan??;https://media-cdn.tripadvisor.com/media/photo-s/0f/95/a1/c0/photo0jpg.jpg;;;;;;;;A dan Z ye uzanman kadrosuyla  mükemmel hizmet veren bir kurum esteworld gerek fatoþ hanim gerekse semra hanim  lazerde çok titiz  calisiyorlar ayrica çok hijyenik bir kurum tesekkurler esteworld???????;5;2021-04-28T06:56:02Z;Mrb;500_krana;"Menüsü,hizmeti ve yemek kalitesi etrafýndaki mekanlara göre çok çok iyi olan yerdir Beyaz Köþk. Ramazan'da iftar menüsünde her zamanki lezzeti bulamayabilirsiniz fakat burasýnýn yemek lezzeti gerçekten baþarýlýydý. 
Ben beðendim,þiddetle de tavsiye ederim??
Yurtdýþýndan misafirlerimiz vardý,ufak bir masa problemi yaþadýk,özür dilemek amacýyla bize tatlý ikram ettiler. Misafirlerimiz de biz de memnun olarak ayrýldýk ??";5;2017-06-15T18:26:10Z;Ramazan 2017;haticesen234;;;;;;;;;;;;;;;;2025-11-06T01:26:23.905604;3
14;Burger King;;Çemenzar Mah. Fahrettin Kerim Gökay Cad. No:2 ;Göztepe, Kadýköy;Ýstanbul;;Türkiye;;40,98188;29,06734;+90 216 567 47 42;;https://www.burgerking.com.tr/;3442425;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d3442425-Reviews-Burger_King-Istanbul.html?m=66827;;;0;;;fast_food;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:53:13.851162;3
15;Baðdat Döner;;Tütüncü Mehmet Efendi Cd. 115/1,;Göztepe;Ýstanbul;;Türkiye;34730;40,98167;29,06815;+90 216 567 76 76;;;19596421;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d19596421-Reviews-Bagdat_Doner-Istanbul.html?m=66827;;;0;;;turkish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:53:15.951304;3
16;Has Gaziantep Kebap;;Fahrettin Kerim Gokay Cad. Sarayonu Sok. No:42;Kuyubasi, Kadikoy;Ýstanbul;;Türkiye;;40,98126;29,0707;3370452;;;2685171;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d2685171-Reviews-Has_Gaziantep_Kebap-Istanbul.html?m=66827;3;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/3.0-66827-5.svg;2;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 8.325. sýrada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:53:18.055270;3
17;Yakamoz;;Merdivenköy Mahallesi, Fahrettin Kerim Gökay Caddesi;Kadýköy;Ýstanbul;;Türkiye;34733;40,98126;29,0707;+90 216 302 71 51;;;13289824;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d13289824-Reviews-Yakamoz-Istanbul.html?m=66827;4;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg;1;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 7.263. sýrada;;turkish;;;;;;;;;;;Lüks aramýyorsanýz. Samimiyet,lezzetli taze balýk ve hýzlý servis size yetiyorsa mutlaka deneyim. Fiyatlar gayet uygun. Mutlaka denenmeli.;4;2020-01-07T14:42:26Z;Güzel mekan;selcank1983;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:53:20.311659;3
18;Santa Clara;;Fahrettin Kerim Gökay Cd. No:196;Göztepe Mahallesi;Ýstanbul;;Türkiye;34730;40,982357;29,065384;+90 216 567 00 50;;;17343628;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d17343628-Reviews-Santa_Clara-Istanbul.html?m=66827;;;0;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 9.282. sýrada;$;brazilian, polish, mediterranean, european, turkish, south_american;https://media-cdn.tripadvisor.com/media/photo-s/17/2e/4e/89/getlstd-property-photo.jpg;getlstd_property_photo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:53:22.448140;3
19;Bi Tek Tantuni;;Göztepe Mahallesi, Fahrettin Kerim Gökay Cd. No: 190/B;Kadýköy;Ýstanbul;;Türkiye;34730;40,982567;29,065071;+90 216 567 33 35;;;11918664;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d11918664-Reviews-Bi_Tek_Tantuni-Istanbul.html?m=66827;;;0;;$;european, albanian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:53:24.561997;3
20;La Casa Kozde Doner;;Göztepe, Fahrettin Kerim Gökay 196/a;;Ýstanbul;;Türkiye;34730;40,982533;29,06554;+90 216 567 99 99;;;27966046;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d27966046-Reviews-La_Casa_Kozde_Doner-Istanbul.html?m=66827;1;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/1.0-66827-5.svg;1;;;turkish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:53:26.587676;3
21;Caffe So!So!;;Fahrettin Kerim Gokay Caddesi 206B;;Ýstanbul;;Türkiye;34730;40,98237;29,06631;+90 216 567 75 67;;http://www.caffesoso.com/;18966958;https://www.tripadvisor.com.tr/Restaurant_Review-g293974-d18966958-Reviews-Caffe_So_So-Istanbul.html?m=66827;5;https://www.tripadvisor.com.tr/img/cdsi/img2/ratings/traveler/5.0-66827-5.svg;1;Ýstanbul bölgesindeki 14.878 Yemek Mekanlarý arasýndan 6.523. sýrada;;;;;;;;;;;;;10 Eylülde bir arkadaþýmla birlikte kahve içmek için oturduk. Hizmet güzel, sunum güzel, kahve harika ve kurabiye efsane;5;2019-09-12T05:00:22Z;Keyifli bir kahve molasý;hemera70;;;;;;;;;;;;;;;;;;;;;2025-11-06T01:53:28.811398;3
